1,1,1,1,1,1,1,1
18,1,32,32,32,32,32,1
18,14,9,14,14,14,14,14
20,32,1,1,2,2,2,2
1,1,1,27,20,18,20,18
1,20,18,32,1,32,18,32
27,27,18,18,1,32,1,18
1,1,1,1,1,1,1,1
14,17,14,14,14,17,1,17
2,1,1,2,2,2,2,2
32,6,32,20,32,32,32,32
1,18,18,18,18,18,18,18
1,1,1,1,1,18,1,1
1,1,1,1,1,1,1,1
32,32,32,1,32,1,1,1
1,1,32,32,1,32,1,1
14,14,14,14,14,1,1,1
6,6,6,32,6,6,6,6
1,1,1,1,1,1,1,1
1,1,9,1,1,1,1,1
1,1,31,31,1,1,1,1
1,1,9,1,1,1,1,1
32,32,32,1,1,1,1,1
18,32,32,32,1,1,1,1
18,2,18,1,1,1,18,1
32,32,1,1,1,1,1,1
18,18,32,18,18,18,18,18
1,32,1,1,1,1,1,1
1,32,32,32,32,32,32,32
18,1,1,1,1,1,1,1
20,18,18,20,20,20,20,20
1,1,18,1,2,1,2,2
32,1,1,1,20,1,20,1
32,1,32,1,32,20,32,20
1,1,31,31,6,1,1,31
32,32,32,32,32,32,32,32
32,14,32,1,1,1,1,14
1,1,18,1,1,1,1,1
1,32,1,20,18,18,20,20
32,20,9,32,32,32,32,32
1,1,18,1,18,1,18,18
1,1,1,1,1,1,1,1
32,1,32,32,32,32,32,1
18,20,32,1,32,32,1,1
1,1,31,31,6,1,1,1
1,1,18,1,1,1,1,1
1,1,1,1,1,1,1,1
1,2,32,32,1,32,1,1
14,1,14,1,1,1,1,1
18,9,18,18,18,18,18,9
18,6,9,1,1,1,1,1
1,1,32,1,18,18,18,18
31,1,1,1,1,1,1,1
17,17,1,1,1,1,1,1
18,18,32,18,18,1,18,18
1,1,1,1,1,1,1,1
6,6,9,6,6,6,6,6
17,17,14,14,17,17,17,17
18,18,18,1,1,1,1,1
18,9,9,1,1,1,1,1
20,14,18,32,9,1,9,18
1,1,18,1,1,1,1,1
1,1,18,1,1,1,1,1
17,1,1,1,1,1,1,1
32,1,32,1,1,1,1,1
18,32,32,20,18,18,18,1
20,32,1,1,1,1,1,1
1,1,32,32,32,1,32,32
18,18,18,18,18,18,18,18
1,1,18,1,1,1,1,1
32,27,1,1,27,27,27,1
32,32,32,1,1,1,1,1
32,32,32,32,1,1,1,1
32,32,32,1,32,1,32,32
1,32,1,32,1,1,1,1
17,14,14,14,14,14,14,14
1,1,32,1,1,1,1,1
1,1,32,1,1,1,1,1
20,20,1,1,1,1,1,1
32,32,32,32,32,32,32,32
2,2,2,2,2,2,2,2
1,2,1,1,1,20,1,20
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,18,1,2,2,2,2
18,2,32,2,20,20,2,20
2,2,2,2,2,2,2,2
2,2,18,2,17,2,20,2
2,2,18,1,1,1,2,2
2,2,1,2,2,2,2,2
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
1,32,1,1,1,1,1,1
2,2,2,2,2,2,2,2
2,2,1,1,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
18,2,1,32,18,1,18,2
32,9,9,2,9,9,9,9
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,1,2,32,2,2,2
31,31,31,31,2,31,2,31
2,2,9,2,2,2,2,2
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,18,18,2,18,2,18
2,2,2,2,2,2,2,2
2,2,31,31,31,2,2,2
18,2,18,32,32,32,18,18
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
32,2,1,2,2,2,2,2
2,2,1,2,2,2,2,2
2,2,1,2,2,2,2,2
31,2,14,2,1,2,2,2
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
27,2,9,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,18,18,2,20,2,2
2,2,31,31,31,31,31,31
20,1,32,1,2,2,2,1
2,2,2,2,2,2,2,2
27,31,9,9,27,27,27,27
2,2,9,2,2,2,2,2
2,2,2,2,2,2,2,2
31,31,31,31,17,31,17,17
2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2
18,9,9,1,32,2,32,32
2,2,1,2,1,2,1,2
1,2,18,18,2,2,2,2
32,1,32,32,32,32,32,32
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
18,18,32,32,32,1,32,32
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
1,2,1,1,1,1,1,1
2,2,18,18,2,1,2,18
2,31,31,31,31,2,31,2
2,18,18,18,2,18,1,18
2,2,32,2,2,2,2,2
18,6,9,6,6,6,6,6
6,6,32,6,6,6,6,6
20,6,32,6,6,6,6,6
6,6,6,6,6,6,6,6
32,6,9,6,6,6,6,6
6,6,32,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,32,6,6,6,6,6
6,6,9,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,32,6,6,6,6,6
6,6,9,6,9,6,6,6
27,27,9,9,9,9,9,27
1,9,9,9,9,6,9,9
6,6,9,6,6,6,6,6
6,6,6,6,6,6,6,6
9,14,9,6,6,6,6,6
6,6,9,6,6,6,6,6
6,6,32,6,6,6,6,6
6,6,9,6,6,6,6,6
6,6,9,6,6,6,6,6
6,6,32,6,6,6,6,6
27,27,9,6,6,6,6,6
18,31,9,6,6,6,6,6
1,1,32,6,6,6,6,27
6,6,9,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,9,9,9,9,9,9,9
6,6,6,6,6,6,6,6
6,6,9,6,6,6,6,6
6,6,9,6,6,6,6,6
31,6,14,6,6,6,6,6
6,6,32,6,6,6,6,6
1,1,32,6,6,6,6,6
27,27,14,31,31,31,31,31
6,6,14,6,6,6,6,6
6,6,32,6,6,6,6,6
18,6,9,18,32,32,14,18
1,1,31,31,1,1,1,31
6,6,1,6,6,6,6,6
27,6,32,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,32,6,6,6,6,6
18,6,9,6,6,6,6,6
18,27,9,6,6,6,6,6
6,6,6,6,6,6,6,6
32,6,1,1,1,1,1,1
6,6,9,6,6,6,6,6
32,31,9,27,1,27,27,27
20,20,32,6,6,6,6,6
20,6,32,6,9,6,9,6
6,6,6,6,6,6,6,6
18,6,9,6,6,6,6,6
6,6,14,6,6,6,6,6
18,6,9,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
32,9,32,6,6,6,6,6
6,6,6,6,6,6,6,6
27,6,9,6,6,6,6,6
6,6,6,6,6,6,6,6
27,6,32,6,6,6,6,6
9,9,9,6,6,9,6,6
6,6,6,6,6,6,6,6
6,6,9,6,6,6,6,6
6,6,9,6,6,6,6,6
9,9,9,6,6,6,6,6
6,6,9,6,6,6,6,6
6,6,6,6,6,6,6,6
20,6,9,6,20,6,20,6
6,6,9,6,6,6,6,6
6,6,6,6,6,6,6,6
18,9,32,6,20,6,6,20
1,6,6,6,6,6,6,6
6,6,9,6,6,6,6,6
9,27,32,32,32,6,6,6
6,6,6,6,6,6,6,6
9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9
